Date,Pillar,Cases
2020-01-26,Pillar 1,0
2020-01-27,Pillar 1,0
2020-01-28,Pillar 1,0
2020-01-29,Pillar 1,0
2020-01-30,Pillar 1,0
2020-01-31,Pillar 1,2
2020-02-01,Pillar 1,0
2020-02-02,Pillar 1,0
2020-02-03,Pillar 1,0
2020-02-04,Pillar 1,0
2020-02-05,Pillar 1,0
2020-02-06,Pillar 1,1
2020-02-07,Pillar 1,0
2020-02-08,Pillar 1,0
2020-02-09,Pillar 1,1
2020-02-10,Pillar 1,4
2020-02-11,Pillar 1,0
2020-02-12,Pillar 1,0
2020-02-13,Pillar 1,1
2020-02-14,Pillar 1,0
2020-02-15,Pillar 1,0
2020-02-16,Pillar 1,0
2020-02-17,Pillar 1,0
2020-02-18,Pillar 1,0
2020-02-19,Pillar 1,0
2020-02-20,Pillar 1,0
2020-02-21,Pillar 1,0
2020-02-22,Pillar 1,0
2020-02-23,Pillar 1,0
2020-02-24,Pillar 1,4
2020-02-25,Pillar 1,0
2020-02-26,Pillar 1,0
2020-02-27,Pillar 1,0
2020-02-28,Pillar 1,6
2020-02-29,Pillar 1,4
2020-03-01,Pillar 1,12
2020-03-02,Pillar 1,5
2020-03-03,Pillar 1,11
2020-03-04,Pillar 1,34
2020-03-05,Pillar 1,29
2020-03-06,Pillar 1,46
2020-03-07,Pillar 1,46
2020-03-08,Pillar 1,65
2020-03-09,Pillar 1,50
2020-03-10,Pillar 1,52
2020-03-11,Pillar 1,83
2020-03-12,Pillar 1,134
2020-03-13,Pillar 1,207
2020-03-14,Pillar 1,264
2020-03-15,Pillar 1,330
2020-03-16,Pillar 1,152
2020-03-17,Pillar 1,407
2020-03-18,Pillar 1,676
2020-03-19,Pillar 1,643
2020-03-20,Pillar 1,714
2020-03-21,Pillar 1,1035
2020-03-22,Pillar 1,665
2020-03-23,Pillar 1,967
2020-03-24,Pillar 1,1427
2020-03-25,Pillar 1,1452
2020-03-26,Pillar 1,2129
2020-03-27,Pillar 1,2885
2020-03-28,Pillar 1,2546
2020-03-29,Pillar 1,2433
2020-03-30,Pillar 1,2619
2020-03-31,Pillar 1,3009
2020-04-01,Pillar 1,4324
2020-04-02,Pillar 1,4244
2020-04-03,Pillar 1,4450
2020-04-04,Pillar 1,3735
2020-04-05,Pillar 1,5903
2020-04-06,Pillar 1,3802
2020-04-07,Pillar 1,3634
2020-04-08,Pillar 1,5491
2020-04-09,Pillar 1,4344
2020-04-10,Pillar 1,5195
2020-04-11,Pillar 1,4624
2020-04-12,Pillar 1,4450
2020-04-13,Pillar 1,3543
2020-04-14,Pillar 1,4468
2020-04-15,Pillar 1,3971
2020-04-16,Pillar 1,3869
2020-04-17,Pillar 1,4673
2020-04-18,Pillar 1,4399
2020-04-19,Pillar 1,4467
2020-04-20,Pillar 1,3023
2020-04-21,Pillar 1,3643
2020-04-22,Pillar 1,3776
2020-04-23,Pillar 1,3831
2020-04-24,Pillar 1,3641
2020-04-25,Pillar 1,3583
2020-04-26,Pillar 1,2685
2020-04-27,Pillar 1,2730
2020-04-28,Pillar 1,2455
2020-04-29,Pillar 1,1888
2020-04-30,Pillar 1,3059
2020-05-01,Pillar 1,3049
2020-05-02,Pillar 1,2750
2020-05-03,Pillar 1,2441
2020-05-04,Pillar 1,1918
2020-05-05,Pillar 1,2203
2020-05-06,Pillar 1,2031
2020-05-07,Pillar 1,2485
2020-05-08,Pillar 1,2109
2020-05-09,Pillar 1,1679
2020-03-27,Pillar 2,5
2020-03-28,Pillar 2,10
2020-03-29,Pillar 2,69
2020-03-30,Pillar 2,46
2020-03-31,Pillar 2,241
2020-04-01,Pillar 2,243
2020-04-02,Pillar 2,278
2020-04-03,Pillar 2,222
2020-04-04,Pillar 2,265
2020-04-05,Pillar 2,296
2020-04-06,Pillar 2,341
2020-04-07,Pillar 2,254
2020-04-08,Pillar 2,374
2020-04-09,Pillar 2,331
2020-04-10,Pillar 2,511
2020-04-11,Pillar 2,610
2020-04-12,Pillar 2,838
2020-04-13,Pillar 2,799
2020-04-14,Pillar 2,784
2020-04-15,Pillar 2,634
2020-04-16,Pillar 2,749
2020-04-17,Pillar 2,926
2020-04-18,Pillar 2,1127
2020-04-19,Pillar 2,1383
2020-04-20,Pillar 2,1653
2020-04-21,Pillar 2,658
2020-04-22,Pillar 2,675
2020-04-23,Pillar 2,752
2020-04-24,Pillar 2,1745
2020-04-25,Pillar 2,1330
2020-04-26,Pillar 2,1778
2020-04-27,Pillar 2,1580
2020-04-28,Pillar 2,1541
2020-04-29,Pillar 2,2188
2020-04-30,Pillar 2,2973
2020-05-01,Pillar 2,3152
2020-05-02,Pillar 2,2056
2020-05-03,Pillar 2,1898
2020-05-04,Pillar 2,2067
2020-05-05,Pillar 2,2203
2020-05-06,Pillar 2,4080
2020-05-07,Pillar 2,3129
2020-05-08,Pillar 2,2540
2020-05-09,Pillar 2,2217
